Title,Author,Translator,ZipRelativePath,TextRelativePath
あいびき,ツルゲーネフ イワン,二葉亭 四迷,cards/000005/files/5_ruby_21311.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/5_ruby_21311_aibiki.txt
はつ恋,ツルゲーネフ イワン,神西 清,cards/000005/files/53194_ruby_44732.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/53194_ruby_44732_hatsukoi.txt
露西亜の言葉,ツルゲーネフ イワン,上田 敏,cards/000005/files/55215_ruby_49076.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/55215_ruby_49076_roshiano_kotoba.txt
あすは、明日は、,ツルゲーネフ イワン,上田 敏,cards/000005/files/55216_ruby_49074.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/55216_ruby_49074_asuwa_asuwa.txt
一僧,ツルゲーネフ イワン,上田 敏,cards/000005/files/55217_ruby_49075.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/55217_ruby_49075_isso.txt
小説総論,二葉亭 四迷,,cards/000006/files/1868_ruby_22436.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/1868_ruby_22436_shosetsu_soron.txt
浮雲,二葉亭 四迷,,cards/000006/files/1869_ruby_33306.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/1869_ruby_33306_ukigumo.txt
平凡,二葉亭 四迷,,cards/000006/files/3310_ruby_8278.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/3310_ruby_8278_heibon.txt
遺言状・遺族善後策,二葉亭 四迷,,cards/000006/files/3311_ruby_7023.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/3311_ruby_7023_igonjyo_izoku_zengosaku.txt
私は懐疑派だ,二葉亭 四迷,,cards/000006/files/382_ruby_22429.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/382_ruby_22429_watashiwa_kaigihada.txt
予が半生の懺悔,二葉亭 四迷,,cards/000006/files/383_ruby_22434.zip,https://raw.githubusercontent.com/2Nike2/aozora-utf8/master/text/383_ruby_22434_yoga_hanseino_zange.txt
